,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo_M,posse_de_veiculo_Y,posse_de_imovel_Y,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
27,2,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
28,0,55.3041095890411,-1000.6657534246576,1,0,0,0,1.0,False,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
29,0,46.61917808219178,3.690410958904109,1,0,0,0,1.0,False,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
30,0,46.61917808219178,3.690410958904109,1,0,0,0,1.0,False,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
31,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
32,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
33,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
34,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
35,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
36,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
37,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
38,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
39,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
40,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
41,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
42,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
43,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
44,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
45,0,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
46,0,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
47,0,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
48,1,28.27671232876712,7.693150684931507,1,0,0,0,3.0,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
49,0,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
50,0,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
51,0,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
52,0,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
53,0,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
54,0,43.90958904109589,2.4356164383561643,1,0,1,0,2.0,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
55,0,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
56,0,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
57,0,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
58,0,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
59,0,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
60,0,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
61,0,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
62,0,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
63,0,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
64,0,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
65,0,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
66,0,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
67,0,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
68,0,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
69,2,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
70,2,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
71,2,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
72,2,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
73,2,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
74,2,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
75,2,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
76,0,54.41369863013698,29.70684931506849,1,0,0,1,2.0,False,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
77,0,51.18356164383562,-1000.6657534246576,1,0,0,0,2.0,False,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
78,2,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
79,2,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
80,2,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
81,2,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
82,2,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
83,0,24.27671232876712,2.4356164383561643,1,1,0,0,1.0,False,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
84,0,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
85,0,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
86,0,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
87,0,28.12054794520548,8.693150684931506,1,0,1,1,2.0,False,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
88,1,48.56438356164384,1.9397260273972603,1,0,1,1,3.0,False,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
89,1,38.69041095890411,3.5232876712328767,1,0,0,0,3.0,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
90,0,27.572602739726022,8.693150684931506,1,0,0,1,2.0,False,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
91,0,56.24931506849315,15.6986301369863,1,0,0,0,2.0,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
92,2,40.35616438356164,8.189041095890412,1,0,0,0,4.0,False,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
93,2,40.35616438356164,8.189041095890412,1,0,0,0,4.0,False,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
94,1,37.47671232876712,12.03013698630137,1,0,0,1,3.0,False,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
95,0,36.35890410958904,1.5205479452054795,1,0,0,0,1.0,False,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
96,2,35.23013698630137,11.112328767123287,1,0,1,0,4.0,False,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
97,2,35.23013698630137,11.112328767123287,1,0,1,0,4.0,False,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
98,0,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
99,0,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
100,0,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
101,0,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
102,0,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
103,0,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
104,0,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
105,0,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
106,0,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
107,0,59.37808219178082,-1000.6657534246576,1,0,0,0,1.0,False,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
108,0,26.457534246575342,4.273972602739726,1,1,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
109,0,43.35616438356164,10.191780821917808,1,1,1,0,2.0,False,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
110,0,43.35616438356164,10.191780821917808,1,1,1,0,2.0,False,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
111,0,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
112,0,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
113,0,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
114,0,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
115,0,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
116,0,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
117,0,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
118,0,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
119,0,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
120,0,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
121,0,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
122,0,62.67671232876712,-1000.6657534246576,1,0,1,1,2.0,False,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
123,0,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
124,0,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
125,0,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
126,0,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
127,0,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
128,0,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
129,0,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
130,0,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
131,0,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
132,0,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
133,0,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
134,0,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
135,0,33.78904109589041,2.356164383561644,1,1,1,0,2.0,False,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
136,0,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
137,0,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
138,0,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
139,0,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
140,0,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
141,0,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
142,0,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
143,0,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
144,0,29.07123287671233,2.6904109589041094,1,0,1,0,2.0,False,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
145,0,52.27945205479452,14.364383561643836,1,0,1,0,1.0,False,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
146,0,38.90684931506849,5.86027397260274,1,0,1,0,2.0,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
147,1,27.27945205479452,2.5232876712328767,1,1,0,0,3.0,False,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
148,1,27.27945205479452,2.5232876712328767,1,1,0,0,3.0,False,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
149,0,43.75342465753425,24.621917808219177,1,0,0,0,1.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
150,0,28.126027397260277,4.526027397260274,1,1,1,0,2.0,False,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
151,0,28.126027397260277,4.526027397260274,1,1,1,0,2.0,False,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
152,0,28.126027397260277,4.526027397260274,1,1,1,0,2.0,False,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
153,0,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
154,0,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
155,0,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
156,0,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
157,0,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
158,0,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
159,0,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
160,0,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
161,0,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
162,0,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
163,0,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
164,0,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
165,0,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
166,0,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
167,0,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
168,0,57.64657534246575,-1000.6657534246576,1,0,1,0,2.0,False,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
169,0,44.106849315068494,5.112328767123287,1,0,1,0,1.0,False,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
170,0,60.44109589041096,-1000.6657534246576,1,0,0,0,1.0,False,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
171,0,60.44109589041096,-1000.6657534246576,1,0,0,0,1.0,False,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
172,0,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
173,0,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
174,0,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
175,0,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
176,0,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
177,0,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
178,0,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
179,0,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
